recipeid	bananas	eggs	all-purpose flour	sugar	salt	baking soda	vanilla extract	baking powder	butter	sour cream	milk	buttermilk	water	whole wheat flour
Grandma-Isabelle_s-Banana-Bread-Recipezaar,3.0,2.0,1.75,1.0,1.0,1.0,0,0.5,0,0,0,0,0,0
Buttermilk-Banana-Bread-Recipezaar_1,3.5,0,2.0,2.0,0,1.5,0,0,0.5,0,0,1.5,0,0
Tarrah_s-Healthy-Banana-Bread-Recipezaar,4.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,2.0
Banana-Nut-Bread-_lighter-Version_low_cal_-Recipezaar,1.5,2.0,2.0,1.0,0.5,0.75,1.0,0,0.25,0,0,0,0,0
Rice-Flour-Banana-Bread-_wheat-Free_-Recipezaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana-Bread-With-Chocolate-Chips-and-Chocolate-Glaze-Food-Network-256627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our-Favorite-Banana-Bread-Recipezaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holiday-Banana-Bread-Pudding-Martha-Stewart-239680,2.0,4.0,0,0,0,0,2.0,0,0,0,2.5,0,0,0
Banana-Tea-Bread-From-The-New-York-Times-Recipezaar,1.0,2.0,1.75,0.666666666667,0.5,0.25,0,2.0,0,0,0,0,0,0
Cherry-Banana-Bread-Recipezaar,1.0,2.0,1.75,0,0.5,0,0,2.0,0,0,0,0,0,0
Cranberry-Banana-Nut-Bread-Recipezaar_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walnut-Banana-Bread-Pudding-AllRecipes-202593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Going-Bananas-Banana-Bread-Food_com-122631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana-Walnut-Bread-Pudding-With-Buttery-Rum-Sauce-Food-Network,5.0,4.0,0,0,0,0,2.0,0,5.0,0,2.0,0,0,0
100_-Yummy-Banana-Bread-Recipezaar,3.0,1.0,1.5,1.0,0,1.0,1.0,0,0.333333333333,0,0,0,0,0
My-Favorite-Banana-Bread-Recipezaar_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moist-and-Delicious-Banana-Bread-Food_com-119835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Better-Banana-Walnut-Bread-Food_com-83441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bread-Machine-Banana-Oatmeal-Bread-Recipezaar,1.0,1.0,2.5,0,1.5,0,0,0,0,0,0,4.0,0.25,0
Prize-Winning-Banana-Nut-Bread-Recipezaar,3.0,2.0,2.0,1.5,0,1.5,1.0,0,0.5,0,0.25,0,0,0
Low-Fat-Banana-Bread-Or-Cake-Recipezaar,4.0,0,1.5,1.0,0,1.0,1.0,0.5,0,2.0,0,0,0,0
Blueberry-Upside_Down-Banana-Nut-Bread-AllRecipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moist-Healthy-Banana-Bread-Food_com-288005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mels-Healthy-Banana-Bread-Recipezaar_1,1.33333333333,0,1.0,0,0.25,1.0,1.0,0,0,0,0,0,0,1.0
Gluten-Free-Pumpkin-Banana-Bread-Food_com-138884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthy-Banana-Bread-Food_com-97394,2.0,4.0,0,0.666666666667,0,1.0,1.0,0,0,0,0,0,0,1.5
Banana-Cake-or-Bread-Food_com-138085,1.0,2.0,2.0,1.5,0.5,1.0,1.0,1.0,0.5,0,0,0.75,0,0
Caramel_banana-Bread-Puddings-Epicurious,3.0,4.0,0,2.5,0,0,1.0,0,2.0,0,0.333333333333,0,0,0
Never-Fail-Banana-Bread-Recipezaar,3.0,2.0,2.0,1.0,0.5,1.0,0,0,0,0,0,0,0,0
Chocolate-Coconut-Banana-Nut-Bread-Recipezaar,1.5,4.0,3.5,1.0,1.0,0.5,0,4.0,0,0,0,0,0,0
Raspberry-Banana-Bread-Allrecipes,1.0,2.0,1.75,1.5,1.0,1.0,0,0,0,0,0,0,0.333333333333,0
Mama_s-Banana-Bread-Food_com-92516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penzeys-Banana-Bread-Recipezaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana-Bread-Serious-Eats-46560,3.0,1.0,1.5,1.0,1.0,1.0,0,0,0.25,0,0,0,0,0
Nikki_s-Banana-Bread-Muffins_-Healthy-Recipezaar,4.0,1.0,1.5,0,1.0,1.0,1.0,0,0.25,0,0,0,0,0
Chocolate-Chip-Pecan-Banana-Bread-Recipezaar,1.0,2.0,1.5,1.0,0.25,1.0,1.5,1.0,0.5,0,0,0,0,0
Sour-Cream-Banana-Bread-Recipezaar_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana-Bread-Recipezaar_75,3.0,1.0,2.0,1.0,0.5,0,0,0,0,0,0,0,0.25,0
Dried-Blueberry_-Cranberry-Or-Apricot-Banana-Nut-Bread-Recipezaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana-Bread-Recipezaar_76,1.0,2.0,1.75,1.5,0.5,1.0,1.0,0,0,0,0,0.25,0,0
Banana-Bread-Recipezaar_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holiday-Banana-Bread-Food_com-93660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthy-Banana-Bread-Recipezaar_5,1.5,0,2.5,1.25,1.0,1.0,1.0,0,0,0,0,0.5,0,0
